,Identifier,drop,count,ratio
0,D4_L-4C2R3,-,89,8.708414872798434
1,I1_L-3C2R0,-,77,7.534246575342466
2,D6_L-8C2R1,-,39,3.816046966731898
3,D3_L-2C3R5,-,38,3.7181996086105675
4,D10_L-11C2R2,-,35,3.4246575342465753
5,D26_L-19C4R12,-,30,2.935420743639922
6,D8_L-4C2R7,-,26,2.5440313111545985
7,D11_L-4C2R10,-,24,2.3483365949119372
8,D2_L-3R0,-,23,2.2504892367906066
9,D2_L-1R2,-,20,1.9569471624266144
10,D1_L-1R1,-,16,1.5655577299412915
11,D7_L-2C4R10,-,14,1.36986301369863
12,D1_L-3C1R0,-,14,1.36986301369863
13,D9_L-8C2R4,-,14,1.36986301369863
14,D25_L-26C2R2,-,11,1.076320939334638
15,D3_L-6C2R0,-,11,1.076320939334638
16,D12_L-13C1R1,-,10,0.9784735812133072
17,D4_L-6C1R0,-,10,0.9784735812133072
18,D6_L-5C1R3,-,8,0.7827788649706457
19,D8_L-9C1R1,-,8,0.7827788649706457
20,D10_L-2C1R10,-,8,0.7827788649706457
21,D7_L-4C1R5,-,8,0.7827788649706457
22,I1_L-1C1R1,-,8,0.7827788649706457
23,D12_L-2C1R12,-,7,0.684931506849315
24,D7_L-6C1R3,-,7,0.684931506849315
25,D5_L-6R0,-,7,0.684931506849315
26,D15_L-5C2R13,-,6,0.5870841487279843
27,D26_L-14C2R15,-,6,0.5870841487279843
28,D30_L-30C2R3,-,6,0.5870841487279843
29,D19_L-19C2R3,-,6,0.5870841487279843
30,D5_L-1R5,-,6,0.5870841487279843
31,D13_L-11C2R5,-,6,0.5870841487279843
32,D4_L-1R4,-,6,0.5870841487279843
33,D23_L-19C2R7,-,5,0.4892367906066536
34,D13_L-8C2R8,-,5,0.4892367906066536
35,D28_L-26C2R5,-,5,0.4892367906066536
36,I1_L-1R0,-,5,0.4892367906066536
37,D30_L-20C2R13,-,4,0.3913894324853229
38,D13_L-16C3R1,-,4,0.3913894324853229
39,D17_L-11C2R9,-,4,0.3913894324853229
40,D6_L-1R6,-,4,0.3913894324853229
41,D19_L-5C2R17,-,4,0.3913894324853229
42,D16_L-15C2R4,-,4,0.3913894324853229
43,D21_L-10C2R14,-,4,0.3913894324853229
44,D2_L-2R1,-,4,0.3913894324853229
45,D8_L-1R8,-,4,0.3913894324853229
46,D20_L-15C2R8,-,4,0.3913894324853229
47,D22_L-9C2R16,-,4,0.3913894324853229
48,D29_L-8C3R25,-,4,0.3913894324853229
49,D20_L-21C1R1,-,4,0.3913894324853229
50,D11_L-1R11,-,3,0.29354207436399216
51,D11_L-6C1R7,-,3,0.29354207436399216
52,D23_L-2C2R24,-,3,0.29354207436399216
53,D20_L-7C2R16,-,3,0.29354207436399216
54,D13_L-1C1R14,-,3,0.29354207436399216
55,D13_L-3C1R12,-,3,0.29354207436399216
56,D7_L-8R0,-,3,0.29354207436399216
57,D14_L-1C1R15,-,3,0.29354207436399216
58,D11_L-9C1R4,-,3,0.29354207436399216
59,D29_L-2C2R30,-,3,0.29354207436399216
60,D3_L-3R1,-,3,0.29354207436399216
61,D11_L-12R0,-,3,0.29354207436399216
62,D13_L-5C1R10,-,3,0.29354207436399216
63,D10_L-5C1R7,-,3,0.29354207436399216
64,D16_L-8C1R10,-,2,0.19569471624266144
65,D9_L-10R0,-,2,0.19569471624266144
66,D14_L-6C1R10,-,2,0.19569471624266144
67,D9_L-1R9,-,2,0.19569471624266144
68,D27_L-10C2R20,-,2,0.19569471624266144
69,D25_L-2C1R25,-,2,0.19569471624266144
70,D28_L-20C1R10,-,2,0.19569471624266144
71,D26_L-3C1R25,-,2,0.19569471624266144
72,D24_L-16C1R10,-,2,0.19569471624266144
73,D28_L-23C1R7,-,2,0.19569471624266144
74,I2_L-3C2R0,-,2,0.19569471624266144
75,D5_L-5R1,-,2,0.19569471624266144
76,D16_L-2C1R16,-,2,0.19569471624266144
77,D23_L-21C1R4,-,2,0.19569471624266144
78,D22_L-22C1R2,-,2,0.19569471624266144
79,D24_L-3C1R23,-,2,0.19569471624266144
80,D23_L-15C1R10,-,2,0.19569471624266144
81,D30_L-34C3R0,-,2,0.19569471624266144
82,D19_L-7C1R14,-,2,0.19569471624266144
83,D19_L-1C1R20,-,2,0.19569471624266144
84,D15_L-9C1R8,-,2,0.19569471624266144
85,D30_L-3C1R29,-,2,0.19569471624266144
86,D17_L-3C1R16,-,2,0.19569471624266144
87,D28_L-3C1R27,-,2,0.19569471624266144
88,D29_L-22C1R9,-,2,0.19569471624266144
89,D27_L-2C1R27,-,2,0.19569471624266144
90,D27_L-21C1R8,-,2,0.19569471624266144
91,D30_L-1C1R31,-,2,0.19569471624266144
92,D25_L-22C1R5,-,2,0.19569471624266144
93,D18_L-20C1R0,-,2,0.19569471624266144
94,D14_L-10C1R6,-,2,0.19569471624266144
95,D21_L-12C1R11,-,2,0.19569471624266144
96,D5_L-4R2,-,2,0.19569471624266144
97,D25_L-13C1R14,-,2,0.19569471624266144
98,D29_L-25C1R6,-,2,0.19569471624266144
99,D25_L-20C1R7,-,2,0.19569471624266144
100,D26_L-22C1R6,-,2,0.19569471624266144
101,I2_L-2C2R1,-,2,0.19569471624266144
102,D7_L-7R1,-,2,0.19569471624266144
103,D22_L-19C1R5,-,2,0.19569471624266144
104,D16_L-6C1R12,-,2,0.19569471624266144
105,I2_L-1C1R1,-,2,0.19569471624266144
106,D23_L-11C1R14,-,2,0.19569471624266144
107,D24_L-11C1R15,-,2,0.19569471624266144
108,D21_L-1R21,-,2,0.19569471624266144
109,D6_L-3R4,-,2,0.19569471624266144
110,D20_L-1C1R21,-,2,0.19569471624266144
111,D29_L-30R0,-,2,0.19569471624266144
112,I2_L-1C2R2,-,2,0.19569471624266144
113,I2_L-2C1R0,-,2,0.19569471624266144
114,D21_L-20C1R3,-,2,0.19569471624266144
115,D28_L-18C1R12,-,2,0.19569471624266144
116,D16_L-18C1R0,-,2,0.19569471624266144
117,D18_L-1R18,-,1,0.09784735812133072
118,D6_L-2R5,-,1,0.09784735812133072
119,D27_L-14C1R15,-,1,0.09784735812133072
120,D25_L-15C1R12,-,1,0.09784735812133072
121,D5_L-3R3,-,1,0.09784735812133072
122,D28_L-1R28,-,1,0.09784735812133072
123,D22_L-1R22,-,1,0.09784735812133072
124,D15_L-1R15,-,1,0.09784735812133072
125,D17_L-1R17,-,1,0.09784735812133072
126,D19_L-20R0,-,1,0.09784735812133072
127,D15_L-16R0,-,1,0.09784735812133072
128,D21_L-16C1R7,-,1,0.09784735812133072
129,D24_L-23C1R3,-,1,0.09784735812133072
130,I2_L-1R0,-,1,0.09784735812133072
131,D17_L-18R0,-,1,0.09784735812133072
132,D21_L-23C1R0,-,1,0.09784735812133072
133,D18_L-8C1R12,-,1,0.09784735812133072
134,D26_L-27R0,-,1,0.09784735812133072
135,D14_L-16C1R0,-,1,0.09784735812133072
136,D19_L-13C1R8,-,1,0.09784735812133072
137,D12_L-3R10,-,1,0.09784735812133072
138,D17_L-16C1R3,-,1,0.09784735812133072
139,D10_L-3R8,-,1,0.09784735812133072
140,D28_L-9C1R21,-,1,0.09784735812133072
141,D24_L-1R24,-,1,0.09784735812133072
142,D23_L-24R0,-,1,0.09784735812133072
143,D9_L-2R8,-,1,0.09784735812133072
144,D26_L-1R26,-,1,0.09784735812133072
145,D22_L-23R0,-,1,0.09784735812133072
146,D16_L-3R14,-,1,0.09784735812133072
147,D11_L-7R5,-,1,0.09784735812133072
148,D9_L-9R1,-,1,0.09784735812133072
149,D21_L-4C1R19,-,1,0.09784735812133072
150,D27_L-29C1R0,-,1,0.09784735812133072
151,D5_L-2R4,-,1,0.09784735812133072
152,D8_L-5R4,-,1,0.09784735812133072
153,D9_L-5R5,-,1,0.09784735812133072
154,D9_L-3R7,-,1,0.09784735812133072
155,D10_L-6R5,-,1,0.09784735812133072
156,D12_L-11R2,-,1,0.09784735812133072
157,D24_L-25R0,-,1,0.09784735812133072
158,D26_L-7C1R21,-,1,0.09784735812133072
159,D30_L-11C1R21,-,1,0.09784735812133072
160,D15_L-2R14,-,1,0.09784735812133072
161,D28_L-5C1R25,-,1,0.09784735812133072
162,D25_L-10C1R17,-,1,0.09784735812133072
163,D15_L-13C1R4,-,1,0.09784735812133072
164,D11_L-10R2,-,1,0.09784735812133072
165,D30_L-16C1R16,-,1,0.09784735812133072
166,D27_L-6C1R23,-,1,0.09784735812133072
167,D29_L-11C1R20,-,1,0.09784735812133072
168,D10_L-7R4,-,1,0.09784735812133072
169,D26_L-5C1R23,-,1,0.09784735812133072
170,D11_L-11R1,-,1,0.09784735812133072
171,D25_L-7C1R20,-,1,0.09784735812133072
172,D28_L-12C1R18,-,1,0.09784735812133072
173,D12_L-8R5,-,1,0.09784735812133072
174,D28_L-29R0,-,1,0.09784735812133072
175,D14_L-3R12,-,1,0.09784735812133072
176,D30_L-17R14,-,1,0.09784735812133072
177,D30_L-5C1R27,-,1,0.09784735812133072
178,D8_L-7R2,-,1,0.09784735812133072
179,D12_L-5R8,-,1,0.09784735812133072
180,D30_L-21R10,-,1,0.09784735812133072
